127.0.0.1 - - [17/Oct/2024:14:04:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:04:44 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:01 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:19 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:22 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:28 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11399
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:31 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8431
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:36 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11399
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:39 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:43 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:46 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8397
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:05:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:06 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8397
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:16 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8397
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:33 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11399
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:37 +0530] "GET /ORS_Project4/ctl/UserCtl?id=19 HTTP/1.1" 200 8002
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:39 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:39 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:06:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:16:06 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:16:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:16:08 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [17/Oct/2024:14:16:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
