0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:00 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:01 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:01 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:01 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:01 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:03 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/package-summary.html HTTP/1.1" 200 12651
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:03 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:03 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:03 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:03 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:03 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:10 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:20 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:20 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 200 2660
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:20 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:20 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:20 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 200 2656
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:20 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 200 2660
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:20 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [24/Oct/2024:14:43:24 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/CollegeCtl.html HTTP/1.1" 200 2677
