127.0.0.1 - - [22/Oct/2024:13:48:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Oct/2024:13:48:43 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [22/Oct/2024:13:48:46 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [22/Oct/2024:13:48:48 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [22/Oct/2024:13:48:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Oct/2024:13:49:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2024:13:49:04 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [22/Oct/2024:13:49:07 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [22/Oct/2024:13:49:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:30:29 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 2644
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:30:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:30:44 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8397
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:30:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:30:50 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:30:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:52:15 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:52:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:53:09 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:53:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
