127.0.0.1 - - [23/Oct/2024:13:55:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Oct/2024:13:55:50 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [23/Oct/2024:13:55:55 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [23/Oct/2024:13:55:58 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [23/Oct/2024:13:55:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Oct/2024:13:56:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2024:13:56:19 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [23/Oct/2024:13:56:22 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [23/Oct/2024:13:56:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:26 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:29 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11503
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:35 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7513
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:46 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7507
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:52 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7513
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:15:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:20:49 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 500 927
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:20:49 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:20:52 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:20:55 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 500 927
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:20:58 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:21:49 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11138
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:21:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:21:59 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7533
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:21:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:23:26 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11138
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:23:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:25:14 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 500 927
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:25:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:25:19 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 500 927
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:27:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:27:12 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 11138
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:27:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:38:25 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8397
0:0:0:0:0:0:0:1 - - [23/Oct/2024:14:38:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
